Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,1shot_claude_LLM_Clarity_Rating,1shot_claude_LLM_Completeness_Rating,1shot_claude_LLM_Consistency_Rating,1shot_claude_PSNR,1shot_claude_RMSE,1shot_claude_SAM,1shot_claude_SRE,1shot_claude_SSIM,1shot_claude_UIQ,repo_url,summary_token_count,1shot_deepseek_LLM_Clarity_Rating,1shot_deepseek_LLM_Completeness_Rating,1shot_deepseek_LLM_Consistency_Rating,1shot_deepseek_PSNR,1shot_deepseek_RMSE,1shot_deepseek_SAM,1shot_deepseek_SRE,1shot_deepseek_SSIM,1shot_deepseek_UIQ,1shot_gpt_LLM_Clarity_Rating,1shot_gpt_LLM_Completeness_Rating,1shot_gpt_LLM_Consistency_Rating,1shot_gpt_PSNR,1shot_gpt_RMSE,1shot_gpt_SAM,1shot_gpt_SRE,1shot_gpt_SSIM,1shot_gpt_UIQ,agent_claude_LLM_Clarity_Rating,agent_claude_LLM_Completeness_Rating,agent_claude_LLM_Consistency_Rating,agent_claude_PSNR,agent_claude_RMSE,agent_claude_SAM,agent_claude_SRE,agent_claude_SSIM,agent_claude_UIQ,approach_claude_LLM_Clarity_Rating,approach_claude_LLM_Completeness_Rating,approach_claude_LLM_Consistency_Rating,approach_claude_PSNR,approach_claude_RMSE,approach_claude_SAM,approach_claude_SRE,approach_claude_SSIM,approach_claude_UIQ,approach_deepseek_LLM_Clarity_Rating,approach_deepseek_LLM_Completeness_Rating,approach_deepseek_LLM_Consistency_Rating,approach_deepseek_PSNR,approach_deepseek_RMSE,approach_deepseek_SAM,approach_deepseek_SRE,approach_deepseek_SSIM,approach_deepseek_UIQ,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,fewshot_claude_LLM_Clarity_Rating,fewshot_claude_LLM_Completeness_Rating,fewshot_claude_LLM_Consistency_Rating,fewshot_claude_PSNR,fewshot_claude_RMSE,fewshot_claude_SAM,fewshot_claude_SRE,fewshot_claude_SSIM,fewshot_claude_UIQ,fewshot_deepseek_LLM_Clarity_Rating,fewshot_deepseek_LLM_Completeness_Rating,fewshot_deepseek_LLM_Consistency_Rating,fewshot_deepseek_PSNR,fewshot_deepseek_RMSE,fewshot_deepseek_SAM,fewshot_deepseek_SRE,fewshot_deepseek_SSIM,fewshot_deepseek_UIQ,fewshot_gpt_LLM_Clarity_Rating,fewshot_gpt_LLM_Completeness_Rating,fewshot_gpt_LLM_Consistency_Rating,fewshot_gpt_PSNR,fewshot_gpt_RMSE,fewshot_gpt_SAM,fewshot_gpt_SRE,fewshot_gpt_SSIM,fewshot_gpt_UIQ,zeroshot_claude_LLM_Clarity_Rating,zeroshot_claude_LLM_Completeness_Rating,zeroshot_claude_LLM_Consistency_Rating,zeroshot_claude_PSNR,zeroshot_claude_RMSE,zeroshot_claude_SAM,zeroshot_claude_SRE,zeroshot_claude_SSIM,zeroshot_claude_UIQ,zeroshot_deepseek_LLM_Clarity_Rating,zeroshot_deepseek_LLM_Completeness_Rating,zeroshot_deepseek_LLM_Consistency_Rating,zeroshot_deepseek_PSNR,zeroshot_deepseek_RMSE,zeroshot_deepseek_SAM,zeroshot_deepseek_SRE,zeroshot_deepseek_SSIM,zeroshot_deepseek_UIQ,zeroshot_gpt_LLM_Clarity_Rating,zeroshot_gpt_LLM_Completeness_Rating,zeroshot_gpt_LLM_Consistency_Rating,zeroshot_gpt_PSNR,zeroshot_gpt_RMSE,zeroshot_gpt_SAM,zeroshot_gpt_SRE,zeroshot_gpt_SSIM,zeroshot_gpt_UIQ
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.5376,0.0593,6.6477,24.895,0.0255,0.0001,https://github.com/ra1028/VueFlux/,976,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4877,0.0597,6.6485,24.8664,0.0262,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5617,0.0591,6.6463,24.9035,0.0262,0.0005,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.6153,0.0588,6.6458,24.9354,0.024,0.0,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.5225,0.0594,0.0,24.8974,0.0231,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.3105,0.0609,0.0,24.793,0.0255,,,,,24.4625,0.0598,6.6393,24.8539,0.0276,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4997,0.0596,6.6478,24.8735,0.0247,0.0004,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.4902,0.0596,6.6467,24.8674,0.0232,0.0,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.611,0.0588,6.6457,24.9272,0.0233,0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4549,0.0599,6.6498,24.85,0.0274,0.0001,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4978,0.0596,0.0,24.8816,0.0206,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4236,0.0601,6.6471,24.834,0.0258,-0.0008
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,,,,,,,,,,https://github.com/btcpayserver/btcpayserver-doc/,1111,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6098,0.0295,81.4077,54.9319,0.5185,-0.0007,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.7699,0.0289,81.4341,55.0118,0.495,-0.0002,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6335,0.0294,81.485,54.9455,0.5255,0.0002,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.5283,0.0297,0.0,54.8917,0.5865,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.4451,0.03,81.3725,54.8494,0.5485,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.8434,0.0287,81.508,55.0523,0.5625,-0.0001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.1354,0.0493,14.1086,52.6772,0.0801,0.0014,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6971,0.0292,81.4999,54.9769,0.5525,0.0014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.9788,0.0282,0.0,55.1114,0.5549,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6913,0.0292,81.5148,54.974,0.569,-0.0007
boxes_and_arrows,,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6967,0.0164,88.6675,59.7717,0.597,0.0011,https://github.com/ingeniala/heybluekata/,1200,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2092,0.0138,88.6604,60.4676,0.6297,0.0026,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.345,0.0136,88.6745,60.5401,0.6434,0.0032,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6357,0.0131,88.6977,60.6898,0.612,0.0029,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7693,0.0145,0.0,60.2409,0.6194,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8183,0.0144,0.0,60.3058,0.6557,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7285,0.0146,88.623,60.2101,0.6379,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1716,0.0123,88.634,60.9514,0.6425,0.0029,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1465,0.0139,88.675,60.4384,0.6051,0.002,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8021,0.0145,88.6499,60.2618,0.6008,0.0013,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4959,0.015,88.7069,60.2044,0.6615,-0.0015,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4759,0.0134,0.0,60.6045,0.6447,,,,,,,,,,
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6736,0.0147,89.3043,58.1844,0.534,0.0006,https://github.com/WeBankFinTech/DeFiBus/,1198,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.645,0.0147,89.2911,58.1577,0.5309,-0.002,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7194,0.0146,89.3054,58.1997,0.5152,0.0049,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5642,0.0167,89.2419,57.6819,0.5423,-0.0005,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.431,0.015,0.0,58.0515,0.5454,,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9482,0.0142,89.3119,58.3243,0.4262,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0266,0.0141,89.3238,58.4221,0.5873,0.0006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9375,0.0142,89.3146,58.3176,0.5449,-0.0015,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6434,0.0147,89.2927,58.1655,0.5349,-0.001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9524,0.0142,89.3118,58.3237,0.534,-0.0008,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0442,0.014,0.0,58.3732,0.5534,,,,,,,,,,
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.8022,0.0575,12.6556,33.6938,0.0315,-0.0004,https://github.com/rubenbupe/proyectos-data/,1119,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.0858,0.0557,12.6583,33.8554,0.0343,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0007,0.0562,12.6562,33.7986,0.0341,0.0004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9278,0.0567,12.6566,33.7596,0.0308,0.0002,,,,,,,,,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.9739,0.0564,0.0,33.7774,0.0421,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.8703,0.0571,12.5272,33.7069,0.0376,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.8073,0.0575,12.6603,33.6991,0.0299,-0.0005,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.8035,0.0575,12.6546,33.6951,0.0317,0.0001,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7958,0.0576,12.6572,33.6911,0.0337,0.0014,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9105,0.0568,12.6588,33.7479,0.0321,0.0004,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3502,0.0189,0.0,38.252,0.7041,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.8468,0.0572,12.6579,33.7174,0.0355,0.0002
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8217,0.0129,89.584,58.5439,0.6228,0.008,https://github.com/open-risk/Open_Risk_API/,903,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9878,0.0126,89.5797,58.5703,0.6331,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1602,0.0139,89.4551,58.1497,0.5983,0.0023,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8116,0.0144,89.569,58.0705,0.5792,0.0002,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9781,0.0126,0.0,58.5569,0.7151,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6311,0.0131,0.0,58.3915,0.7735,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9414,0.0113,89.0944,59.0546,0.7375,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.551,0.0118,89.604,58.8545,0.6399,0.0002,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2417,0.0122,89.5806,58.6973,0.6448,0.006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8394,0.0128,89.5753,58.4941,0.5809,0.0007,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.459,0.0119,89.5903,58.8055,0.6611,0.0049,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9475,0.0127,0.0,58.5475,0.6097,,,,,,,,,,
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,https://github.com/redbadger/crux/,1704,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4581,0.0327,0.0,56.2575,0.5382,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,29.4349,0.0328,0.0,56.2868,0.5962,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.3754,0.0329,0.0,56.2534,0.548,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,,,,,,
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.9064,0.016,89.687,59.5807,0.5741,-0.0012,https://github.com/sup2is/e-commerce-project/,1226,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6691,0.0165,89.6696,59.3192,0.5375,,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8164,0.0162,89.6895,59.4129,0.4901,-0.0006,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.7099,0.0157,0.0,59.3447,0.6011,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.528,0.0163,0.0,58.9811,0.6241,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.0538,0.0177,89.5976,58.6863,0.5263,,,,,,,,,,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.2084,0.0155,89.6909,59.7017,0.5843,0.0022,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8646,0.0161,89.6479,59.4046,0.5415,0.001,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.0635,0.0157,89.6812,59.7679,0.5924,-0.0014,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.7356,0.0156,0.0,59.4199,0.5655,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.6192,0.0166,89.6874,59.2736,0.5343,-0.0001
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3112,0.0121,89.9391,59.448,0.6507,0.0064,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4928,0.0133,89.8827,59.0272,0.6226,-0.0032,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7796,0.0115,89.9427,59.7323,0.6832,-0.0021,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9446,0.0113,89.9476,59.7721,0.6368,-0.0014,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.274,0.0122,0.0,59.4398,0.7982,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4258,0.012,89.9615,59.4984,0.8188,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2119,0.0109,89.4909,59.9165,0.7642,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.6839,0.0116,89.9098,59.6353,0.7218,-0.0026,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2985,0.0108,89.9308,59.9525,0.7015,-0.0073,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.81,0.0129,89.9024,59.1908,0.6919,-0.0049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8995,0.0114,89.9498,59.7529,0.6693,0.0005,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9795,0.0112,0.0,59.7888,0.6989,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6403,0.0117,89.9454,59.6189,0.6719,-0.001
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.9433,0.0127,89.4687,58.2555,0.5571,0.0069,https://github.com/Nishu0/anime_nft_marketplace/,888,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1743,0.0123,89.909,58.3652,0.6215,-0.0012,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8557,0.0128,89.8902,58.1821,0.6285,-0.0056,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5204,0.0119,89.9128,58.5745,0.5302,-0.0014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7767,0.0144,0.0,57.67,0.5668,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3389,0.0136,0.0,57.9158,0.6915,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2373,0.0122,89.8177,58.3816,0.6876,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1355,0.011,89.8951,58.8824,0.6014,-0.0031,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0448,0.0559,14.3034,51.7346,0.0003,-0.0049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6594,0.0131,89.8616,58.0927,0.624,0.0073,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4786,0.0119,89.9299,58.5175,0.5748,0.0161,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5878,0.0117,0.0,58.5976,0.6075,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7781,0.0115,89.9362,58.6987,0.6012,0.005
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9273,0.016,87.7357,60.751,0.7072,-0.0016,https://github.com/ertis-research/lwm2m-blockchain/,1085,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8352,0.0162,87.6727,60.7058,0.7281,-0.0025,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1197,0.0156,87.7422,60.8472,0.7252,-0.0001,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6388,0.0165,87.7023,60.6063,0.7153,0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3021,0.0171,0.0,60.4707,0.7489,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1133,0.0156,0.0,60.8457,0.7423,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1014,0.0157,87.4206,60.8399,0.7622,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.2659,0.0154,87.7305,60.9201,0.7555,-0.0,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7332,0.0163,87.6865,60.6535,0.7155,-0.003,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8386,0.0161,87.6793,60.7061,0.6746,0.0013,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8031,0.0162,87.7039,60.6903,0.71,-0.0007,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8062,0.0162,0.0,60.685,0.6989,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6845,0.0164,87.6953,60.6293,0.7055,-0.0002
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.7779,0.0163,89.2855,59.6263,0.6174,-0.0017,https://github.com/geovanegodoi/MicroServicesPOC/,894,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.319,0.0171,89.2318,59.381,0.5889,-0.0009,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.9224,0.016,89.275,59.7432,0.6859,0.0006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9993,0.0159,89.2958,59.7494,0.586,-0.0026,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.8526,0.016,0.0,59.6591,0.6614,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6515,0.0164,0.0,59.5292,0.6454,,,,,36.1703,0.0155,89.3173,59.8336,0.7527,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.0853,0.0157,89.2657,59.7687,0.6767,-0.0013,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.1731,0.0155,89.2811,59.8427,0.6369,0.0014,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.6993,0.0184,89.1803,59.0504,0.5814,-0.001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5011,0.0168,89.2449,59.4725,0.5689,0.0027,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5221,0.0166,0.0,59.4858,0.5874,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6406,0.0165,89.2838,59.5511,0.6173,0.0003
boxes_and_arrows,,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.6071,0.0263,89.7918,54.9065,0.5733,-0.0013,https://github.com/gpsnmeajp/VirtualMotionTracker/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3244,0.0272,89.7873,54.7919,0.5589,-0.0111,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3871,0.027,89.7897,54.8291,0.5965,0.0109,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4259,0.0268,89.8127,54.8283,0.5679,-0.0001,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.2845,0.0271,0.0,54.7642,0.6674,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3617,0.027,89.836,54.821,0.6189,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3123,0.0272,89.7793,54.7779,0.56,-0.0014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3511,0.0271,89.7929,54.8083,0.6059,0.0003,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3074,0.0272,89.8049,54.788,0.6195,0.0069,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3309,0.0271,89.8249,54.7976,0.6147,-0.0023,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.353,0.0269,0.0,54.8059,0.6077,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4992,0.0266,89.831,54.8857,0.6004,0.0052
