sample_id,setting_id,author1_rating,author2_rating,metric
9,4,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
10,5,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
11,1,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
11,3,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
13,1,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
13,2,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
13,3,Meets Expectations,Does Not Meet Expectations,accuracyRating
13,4,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
13,5,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
14,4,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
19,2,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
19,3,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
19,5,Meets Expectations,Partially Meets Expectations,accuracyRating
21,1,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
21,3,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
22,4,Partially Meets Expectations,Does Not Meet Expectations,accuracyRating
1,1,Partially Meets Expectations,Does Not Meet Expectations,detailRating
1,2,Does Not Meet Expectations,Partially Meets Expectations,detailRating
1,3,Does Not Meet Expectations,Partially Meets Expectations,detailRating
1,5,Partially Meets Expectations,Does Not Meet Expectations,detailRating
2,1,Partially Meets Expectations,Meets Expectations,detailRating
2,4,Does Not Meet Expectations,Partially Meets Expectations,detailRating
2,5,Does Not Meet Expectations,Meets Expectations,detailRating
3,3,Partially Meets Expectations,Does Not Meet Expectations,detailRating
3,5,Partially Meets Expectations,Meets Expectations,detailRating
4,4,Does Not Meet Expectations,Meets Expectations,detailRating
4,5,Does Not Meet Expectations,Partially Meets Expectations,detailRating
5,5,Partially Meets Expectations,Meets Expectations,detailRating
6,3,Partially Meets Expectations,Does Not Meet Expectations,detailRating
6,5,Partially Meets Expectations,Does Not Meet Expectations,detailRating
9,4,Partially Meets Expectations,Does Not Meet Expectations,detailRating
10,4,Does Not Meet Expectations,Partially Meets Expectations,detailRating
10,5,Meets Expectations,Partially Meets Expectations,detailRating
11,3,Partially Meets Expectations,Does Not Meet Expectations,detailRating
11,5,Meets Expectations,Partially Meets Expectations,detailRating
12,3,Does Not Meet Expectations,Meets Expectations,detailRating
13,1,Meets Expectations,Does Not Meet Expectations,detailRating
13,3,Partially Meets Expectations,Does Not Meet Expectations,detailRating
13,4,Partially Meets Expectations,Does Not Meet Expectations,detailRating
13,5,Meets Expectations,Does Not Meet Expectations,detailRating
15,1,Does Not Meet Expectations,Partially Meets Expectations,detailRating
15,2,Does Not Meet Expectations,Partially Meets Expectations,detailRating
15,4,Does Not Meet Expectations,Partially Meets Expectations,detailRating
16,2,Does Not Meet Expectations,Partially Meets Expectations,detailRating
16,4,Partially Meets Expectations,Meets Expectations,detailRating
17,1,Does Not Meet Expectations,Meets Expectations,detailRating
17,2,Does Not Meet Expectations,Partially Meets Expectations,detailRating
17,4,Does Not Meet Expectations,Partially Meets Expectations,detailRating
18,1,Partially Meets Expectations,Does Not Meet Expectations,detailRating
21,3,Partially Meets Expectations,Does Not Meet Expectations,detailRating
21,5,Partially Meets Expectations,Meets Expectations,detailRating
22,4,Partially Meets Expectations,Does Not Meet Expectations,detailRating
22,5,Partially Meets Expectations,Does Not Meet Expectations,detailRating
