Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_gpt_LLM_Clarity_Rating,zeroShot_gpt_LLM_Completeness_Rating,zeroShot_gpt_LLM_Consistency_Rating,zeroShot_gpt_PSNR,zeroShot_gpt_RMSE,zeroShot_gpt_SAM,zeroShot_gpt_SRE,zeroShot_gpt_SSIM,zeroShot_gpt_UIQ
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,https://github.com/2WAY/Design/,578,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3015,0.0172,89.8494,57.8115,0.6447,0.0027
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,https://github.com/microsoft/azure-realtime-fraud-detection/,729,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4449,0.0120,89.3373,58.8913,0.6363,-0.0015
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",https://github.com/lkravi/kube8aws/,863,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.2569,0.0137,88.2997,62.1888,0.5140,-0.0016
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",https://github.com/MyEMS/myems/,1277,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1884,0.0155,88.6145,59.0570,0.4554,0.0092
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.6007,0.0148,89.8963,59.8324,0.6925,-0.0034
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,https://github.com/avarghesein/ActiveX.NET/,990,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6757,0.0165,89.7552,56.5672,0.5259,-0.0014
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,https://github.com/leekoko/Java-Web/,1095,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2985,0.0136,89.9447,60.4251,0.7409,0.0001
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,https://github.com/oracle-quickstart/oci-jenkins/,1071,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.1750,0.0098,89.7081,61.2243,0.6722,0.0019
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",https://github.com/neighbor-army/help-with-covid/,1153,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1942,0.0123,89.8852,66.9267,0.8533,-0.0000
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,https://github.com/pagopa/pn-infra/,1807,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3822,0.0120,89.6249,59.9057,0.6832,-0.0028
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5298,0.0133,89.0789,59.7264,0.7292,0.0002
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,https://github.com/ashavijit/Face-Find/,1192,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8907,0.0127,89.9225,63.4804,0.7485,-0.0018
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",https://github.com/Activiti/activiti-7-developers-guide/,1018,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.8260,0.0128,89.9255,57.7859,0.5443,0.0101
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",https://github.com/cordon-thiago/airflow-spark/,1079,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2587,0.0122,89.8770,57.8897,0.5792,-0.0052
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,https://github.com/IBM/torc_py/,989,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3657,0.0191,89.0589,56.1515,0.5492,0.0063
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536,,,,NA,NA,NA,NA,NA,NA
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,https://github.com/SimonLdj/hypnolog-server/,1029,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4620,0.0150,89.4492,55.8400,0.5915,0.0021
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",https://github.com/chaitin/veinmind-tools/,1038,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3776,0.0107,89.9368,59.1406,0.4713,-0.0003
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,https://github.com/IceFireDB/IceFireDB/,1053,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2427,0.0487,88.8126,42.7302,0.1887,0.0004
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,https://github.com/ebu/PlugIt/,773,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3295,0.0136,88.3205,57.8450,0.5996,-0.0046
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,https://github.com/CMUChimpsLab/Peekaboo/,1222,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3733,0.0214,85.0610,57.8792,0.6506,0.0000
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",https://github.com/greatfarmer/fifarm/,878,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9474,0.0142,89.3057,61.9929,0.7091,-0.0077
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.1895,0.0219,89.8080,61.0412,0.7193,0.0001
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",https://github.com/lovasoa/SuperLogger/,667,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5156,0.0149,89.9241,59.1130,0.6962,0.0000
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",https://github.com/kzh/noob/,900,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",https://github.com/SocialGouv/archifiltre-docs/,1344,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7409,0.0130,89.5883,61.5249,0.7753,-0.0030
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,https://github.com/OpenIPC/motors/,1030,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8923,0.0143,88.2945,58.0545,0.6112,-0.0013
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,https://github.com/NLP4L/attic-nlp4l/,1469,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8395,0.0361,89.7279,48.2869,0.3581,-0.0007
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,https://github.com/SafeBreach-Labs/hAFL2/,1271,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.0964,0.0157,89.3502,59.2724,0.7101,0.0009
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",https://github.com/darrenyao87/tnn-models/,1195,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0346,0.0141,88.9130,60.6604,0.6292,0.0132
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",https://github.com/openshift/configuration-anomaly-detection/,1382,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2536,0.0546,87.6144,38.1357,0.1371,-0.0003
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,https://github.com/FAC10/week4-jajascript/,634,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.4609,0.0336,65.6844,49.9053,0.4733,0.0075
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,https://github.com/kubescape/host-scanner/,866,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7367,0.0146,87.3010,57.1500,0.6366,-0.0027
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",https://github.com/arkaneshiro/Sound-Zone/,968,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.5617,0.0167,87.3633,61.3223,0.7111,-0.0048
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",https://github.com/Enterprise-CMCS/macpro-appian-connector/,809,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9847,0.0112,89.4818,68.1269,0.8695,0.0000
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",https://github.com/shinesolutions/sitechecker-slackbot/,797,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.3260,0.0153,89.6604,58.5160,0.6249,0.0009
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,https://github.com/lowes/auditor/,976,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0214,0.0126,89.2584,57.2479,0.5822,-0.0038
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,https://github.com/aws-solutions/iot-device-simulator/,649,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6520,0.0585,9.4143,29.3894,0.0324,0.0002
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,https://github.com/KuangRD/Autonomous-Driving/,1358,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9353,0.0142,88.8548,60.5801,0.7173,-0.0006
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",https://github.com/teamgram/teamgram-server/,1254,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8272,0.0144,89.4986,61.8839,0.6385,-0.0006
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",https://github.com/calmato/gran-book/,1747,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0310,0.0177,89.1829,59.8650,0.6593,-0.0013
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",https://github.com/lkmSasanga/fas-web-app/,917,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.0353,0.0100,88.8976,63.5662,0.8017,0.0031
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,https://github.com/alexprut/earth-defender/,1012,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8101,0.0115,88.8786,58.4285,0.6147,0.0010
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,https://github.com/ShiftLeftSecurity/traceleft/,1280,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4101,0.0120,89.9078,61.2020,0.6775,0.0074
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,https://github.com/nasa/cFS/,871,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",https://github.com/0xMelkor/ethereum-node/,1070,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.6348,0.0185,89.2004,60.5671,0.7243,-0.0004
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6626,0.0585,8.2660,23.6896,0.0059,-0.0002
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,https://github.com/allegroai/clearml-agent/,1155,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0448,0.0158,89.8408,62.1093,0.7208,-0.0001
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,https://github.com/ParaStation/psmpi/,1184,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3902,0.0479,50.5490,43.4346,0.1874,0.0014
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,https://github.com/andrempmattos/harsh-payload/,1333,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3403,0.0152,87.3111,58.6428,0.4581,-0.0085
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,https://github.com/abel-gr/warehouse-robot/,1156,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7440,0.0183,89.0581,56.3120,0.3812,-0.0119
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",https://github.com/OAID/Tengine/,1190,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5690,0.0132,89.8870,59.6305,0.5383,-0.0031
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,https://github.com/de1ux/statlord/,1082,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2640,0.0109,89.6227,59.8759,0.6829,-0.0041
