filename,clarity,completeness,consistency
vinijmoura_Azure-DevOps_comparison.json,Partially Meets Expectations,Meets Expectations,Partially Meets Expectations
elloza_Android-Developer-Certification_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
zeropaper_visual-fiha_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
chirgjin_track-my-events_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBM_torc_py_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
btcpayserver_btcpayserver-doc_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Sanperolo_The-Intelligent-Bike_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
apigee_consumer-data-standards-au_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
DehengYang_APRConfig_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
emreturgutce_stock-management_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
IBM_datastax-cassandra-clickstream_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Scientific-Computing-Lab-NRCN_compar_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
aws-solutions_automated-security-response-on-aws_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
sugarlabs_musicblocks-v4-lib_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
leekoko_Java-Web_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Crazy0416_KnowledgeGraph_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
terrenjpeterson_javawatch_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hotshot07_distributed_systems_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
wso2_chef-apim_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
oracle-quickstart_oci-jenkins_comparison.json,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations
Speccy-Rom_SpeccyTV_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
sup2is_e-commerce-project_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Software-Engineering-DHBW_bikeminer_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
KMuthumala_ESP32-BLE-Beaconing_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
RunnersHi_RunnersHi_Server_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
jsarcher_zilgraph_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
anjuchamantha_EMonitor_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
tarhses_esp-alarm-clock_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
dylanvanh_MunchOut_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
CMU-RERC-APT_tiramisu3-pr_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ebu_PlugIt_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ashavijit_Face-Find_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
cordon-thiago_airflow-spark_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
pagopa_pn-infra_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBM_IBM-Spectrum-Scale-Security-Posture_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
domingo1021_Bunny-code_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
fecgov_fec-eregs_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
codestates_BEB-05-LeeSea_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
lkravi_kube8aws_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hyper-prog_hasses_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
aliyun_packagist-mirror_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Neighbor-Army_help-with-covid_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
jquku_Matrix-Chatbot_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
matryx_MatryxPlatform_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
DevOps-Represent_devopsgirls-bootcamp-cn-2_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
inovex_scrumlr.io_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IceFireDB_IceFireDB_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
today-real-estate_today-real-estate_front-end_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
kpantos_Azure-How-To_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
shawntabrizi_Ethereum-Twitter-Bounty_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ruoccofabrizio_azure-open-ai-embeddings-qna_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gpsnmeajp_VirtualMotionTracker_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
nasa_cFS_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
redbadger_crux_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
blockchain-signaling-system_bloss-core_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
microsoft_covid19-BackToWork_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hrchlhck_k8s-bigdata_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
onlybakam_reinvent2022-vote-app_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
s-sokolko_smev3_adapter_service_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
eProsima_FIWARE-SH_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
23fa-cpsc490_canyough_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
libremfg_getting-started_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
blentle_hikarikeeper_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Enterprise-CMCS_macpro-appian-connector_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
UoA-eResearch_hub-stack_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
marekq_rss-lambda_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
rubenbupe_proyectos-data_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
AhmedAbdelGawadFarag_Shams-Personal-Assistant_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gcba-iris_iris_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
DanNguyenN_CompassUTD_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
codahale_sneaker_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
UnoSD_UnoCash_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
mebaysan_Modern-Data-Architecture_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
andrempmattos_harsh-payload_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
little-hands_webdbpress-2019-10-ddd_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
DecenterApps_ResistanceProtocol_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
nikmis_xentrace-analysis_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
NatalieLouise91_T3A2-Skemi-FrontEnd_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
kansiris_Angular-Interview-Questions-Answers_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
dich1_bookshelf-web_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
EMERIC237_Restaurant-reservation-app_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
alextanhongpin_node-rest_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
mendhak_gpslogger_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
orchsym_runtime_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
NodleCode_n1_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
arkaneshiro_Sound-Zone_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
vishipayyallore_blazorwasm-apim-api-sql-redis_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
qunarcorp_m_adr_qapm_open_source_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
intel_edge-insights-vision_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
FudanOCR_FudanOCR_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
zoolhelmy_ESP8266-Weather-Station_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
duanfuxiang0_MysqlMigrationTool_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
OpiumProtocol_opium-protocol-v2_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
victorshinya_serverless-chatbot_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
hex-js_nodejs-hexagonal-boilerplate-ts_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
jinnerbichler_flash-home_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
lovasoa_SuperLogger_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
EOS-Nation_dfuse-docs_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
apache_apisix-dashboard_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
medlab_320-online-prototype_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
padok-team_dojo-terraform-aws-security_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
fdrennan_ndexr-platform_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
badr42_oke_A1_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
staples-sparx_Wonko_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Activiti_activiti-7-developers-guide_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
matrix-io_matrix-malos-zwave_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
onprem_foundry_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
greatfarmer_fifarm_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
abel-gr_warehouse-robot_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
DJMcK_aws-lake-training_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
alfredcs_immersion_day_labs_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
heli-os_member-invitation-java-springboot_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
ShiftLeftSecurity_traceleft_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
tamu-datathon-org_galaxy_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
mateuseap_apache-airflow_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
iceland2k14_Kangrand_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
mrubash1_trainspotting_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ev2900_OpenSearch_Dashboard_Nginx_Proxy_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
dwt0317_Search_Adserver_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
mxaviersmp_spotify-tracker_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Xsidelight_flutter_interview_questions_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gaiax_fLibra_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
SpektraSystems_CloudLabs-Azure_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
eProsima_Integration-Service_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
alexprut_earth-defender_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Melacon_WirelessTransportEmulator_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
OpenIPC_motors_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
itays123_partydeck_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
rackerlabs_scantron_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
ut-ims-robotics_robotont_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
miztiik_aws-real-time-use-cases_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hyeonsangjeon_AWS-LLM-SageMaker_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
imamabdulazis_FlutterCleanArchitecture_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
nforge_devnote_comparison.json,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations
cap-ntu_Video-to-Retail-Platform_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
SV-97_HumanResourceMachine_comparison.json,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations
victor369basu_Real-time-stock-market-prediction_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
mincloud1501_MSA_miniProject_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
decentraland_catalyst_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
icoxfog417_karura_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
pgrignaffini_AlgoCrowd_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
azuregomez_SecurePaaS_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
CMUChimpsLab_Peekaboo_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
NicoJuicy_Airline-Microservices_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Taymindis_fcgi-function_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
alexandredev3_nodejs-clean-architeture_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Connor1996_Pokemon_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
kryptokrauts_ae-prediction-cards_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
zmyzheng_TweetMap_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
FAC10_week4-jajascript_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
caraml-dev_turing_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
kubescape_host-scanner_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
chaitin_veinmind-tools_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
zeromicro_zero-doc_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBM_cognos-analytics-to-visualize-business-data_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
takoko55_LectureLens_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
Nishu0_anime_nft_marketplace_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
quasirsg_Henry-M3_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
OpenRoberta_robertalab-ev3dev_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
spagnuolocarmine_serverless-computing-for-iot_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
thill_kafkacap_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Cpanchal1_Chatbot101-with-AWS-Lambda_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
Fintan-contents_case-studies_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
awslabs_benchmark-ai_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
swir-rs_swir_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hyeonsangjeon_youtube-dl-nas_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
madderle_Capstone-Realtime-Streaming-Analytics_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gray-panda_grayrepo_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gabrielfarah_OpenHub_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
shinesolutions_sitechecker-slackbot_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
oovk_dataengg-covid19-aws_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
boot2podman_machine_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
thangchung_practical-dapr_comparison.json,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations
leopardslab_gocloud_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ArnBaudzus_FluxSurfer_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
GoogleCloudPlatform_gke-pubsub-websocket-adapter_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
exmgr_GatewayXM_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
avarghesein_ActiveX.NET_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Resurgence-VM-Development_Resurgence_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
geovanegodoi_MicroServicesPOC_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
SimonLdj_hypnolog-server_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
clemgbld_blog_back_office_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gapfish_deployer_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
JessNah_BeeGreen_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
pacmacro_pm-server-spring_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
bianjieai_tibc_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
yuwen123441_NVMeAutomation_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
IBM_spectrum-protect-sppmon_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
nightingaleproject_Reference-Client_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
darrenyao87_tnn-models_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Bytom-Community_Bytom-Server_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
batatero_arquiteturaPHP00_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
XenitAB_git-auth-proxy_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
AmnisIO_AmnisIO_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
fredrikhgrelland_data-mesh_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
hamzatugrul_surl_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
TestHaters_ctflow_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
afonsocastro_larcc_interface_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
KuangRD_Autonomous-Driving_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ballerina-platform_asyncapi-tools_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
unnmdnwb3_dora_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
florianhoehn_sf-apex-rest-api_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Partially Meets Expectations
david3107_squatm3gator_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
freenowtech_AndroidCI_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
ingeniala_heybluekata_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
allegroai_clearml-agent_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
lowtalkers_escape-reality_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
CodisLabs_codis_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
IBM_ios-mapkit-indoor-map_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
llvm_torch-mlir_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
eqbal_CarND_Capstone_CarX_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
BoraxTheClean_DevelopmentMachine_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
dspace-group_simphera-reference-architecture-azure_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
WeBankFinTech_DeFiBus_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
dowjones_hammer_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBM_logdna-cos_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
michaelsrichter_azure.owasp_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
rinkako_CStoreDBMS_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations
turkcellcloud_jupyter-openshift_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations
