Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_gpt_LLM_Clarity_Rating,oneShot_gpt_LLM_Completeness_Rating,oneShot_gpt_LLM_Consistency_Rating,oneShot_gpt_PSNR,oneShot_gpt_RMSE,oneShot_gpt_SAM,oneShot_gpt_SRE,oneShot_gpt_SSIM,oneShot_gpt_UIQ,repo_url,summary_token_count
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.4790,0.0150,89.0978,59.1307,0.6951,0.0000,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2537,0.0122,89.9264,63.6762,0.7649,0.0017,https://github.com/ashavijit/Face-Find/,1192
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3156,0.0153,89.7790,57.0247,0.4336,0.0033,https://github.com/Activiti/activiti-7-developers-guide/,1018
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4115,0.0107,89.9286,58.4694,0.6287,0.0067,https://github.com/cordon-thiago/airflow-spark/,1079
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2073,0.0174,88.8901,56.5002,0.5294,-0.0016,https://github.com/IBM/torc_py/,989
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5219,0.0133,89.8336,57.4878,0.4969,-0.0015,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1757,0.0155,89.3961,55.6732,0.6046,-0.0015,https://github.com/SimonLdj/hypnolog-server/,1029
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4718,0.0119,89.9116,58.6735,0.4607,0.0111,https://github.com/chaitin/veinmind-tools/,1038
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3181,0.0483,88.7303,42.7501,0.1649,-0.0012,https://github.com/IceFireDB/IceFireDB/,1053
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1456,0.0139,88.2492,57.7530,0.6084,-0.0047,https://github.com/ebu/PlugIt/,773
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.8572,0.0228,85.0163,57.6203,0.6164,0.0011,https://github.com/CMUChimpsLab/Peekaboo/,1222
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9090,0.0143,89.2812,61.9737,0.7182,0.0025,https://github.com/greatfarmer/fifarm/,878
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.1275,0.0221,89.7548,60.9974,0.7076,-0.0001,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3149,0.0136,89.1521,60.1373,0.6644,0.0058,https://github.com/lovasoa/SuperLogger/,667
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3123,0.0153,89.8365,58.9895,0.6416,0.0055,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/kzh/noob/,900
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6803,0.0184,89.4188,60.0839,0.6593,-0.0023,https://github.com/SocialGouv/archifiltre-docs/,1344
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6663,0.0147,88.2609,57.9371,0.6046,0.0019,https://github.com/OpenIPC/motors/,1030
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8012,0.0363,89.7001,48.2849,0.3650,0.0042,https://github.com/NLP4L/attic-nlp4l/,1469
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9664,0.0159,89.3466,59.1780,0.6912,-0.0026,https://github.com/SafeBreach-Labs/hAFL2/,1271
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3388,0.0152,88.8636,60.3115,0.5998,0.0064,https://github.com/darrenyao87/tnn-models/,1195
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.4216,0.0536,87.3214,38.2195,0.1314,0.0001,https://github.com/openshift/configuration-anomaly-detection/,1382
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.9923,0.0317,65.6692,50.1389,0.4422,-0.0043,https://github.com/FAC10/week4-jajascript/,634
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3073,0.0153,87.3972,56.9353,0.6119,0.0053,https://github.com/kubescape/host-scanner/,866
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7410,0.0163,87.3192,61.4134,0.6585,-0.0015,https://github.com/arkaneshiro/Sound-Zone/,968
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2606,0.0109,89.4737,68.2563,0.8815,0.0006,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",,,,NA,NA,NA,NA,NA,NA,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0350,0.0125,89.2580,57.2550,0.5881,-0.0039,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7438,0.0579,9.4149,29.4444,0.0342,-0.0009,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7462,0.0163,88.8206,60.1040,0.6520,-0.0027,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4091,0.0151,89.4360,61.6151,0.6235,-0.0013,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0201,0.0177,89.1458,59.8651,0.6867,-0.0007,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8247,0.0114,88.8888,62.9601,0.7608,0.0014,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3994,0.0120,88.8520,58.2225,0.6169,-0.0032,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1331,0.0124,89.9253,61.1090,0.7025,0.0011,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.7020,0.0184,89.1624,60.5912,0.7225,-0.0003,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6511,0.0585,8.2609,23.6830,0.0070,0.0021,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4064,0.0151,89.8117,62.2925,0.7444,0.0033,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4178,0.0478,50.5389,43.4472,0.1851,-0.0002,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3578,0.0152,87.3033,58.6515,0.4685,-0.0021,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6962,0.0184,88.9720,56.2908,0.3694,0.0015,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4056,0.0135,89.8910,59.5555,0.5290,-0.0018,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7271,0.0116,89.6003,59.6253,0.7098,0.0016,https://github.com/de1ux/statlord/,1082
