Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_claude_LLM_Clarity_Rating,oneShot_claude_LLM_Completeness_Rating,oneShot_claude_LLM_Consistency_Rating,oneShot_claude_PSNR,oneShot_claude_RMSE,oneShot_claude_SAM,oneShot_claude_SRE,oneShot_claude_SSIM,oneShot_claude_UIQ,repo_url,summary_token_count
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5817,0.0166,89.7504,56.5247,0.5200,-0.0031,https://github.com/avarghesein/ActiveX.NET/,990
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5932,0.0132,89.9467,60.6900,0.7223,0.0005,https://github.com/leekoko/Java-Web/,1095
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9861,0.0112,89.6847,60.6462,0.6345,-0.0030,https://github.com/oracle-quickstart/oci-jenkins/,1071
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.8553,0.0128,89.8641,66.7572,0.8383,0.0006,https://github.com/neighbor-army/help-with-covid/,1153
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8243,0.0128,89.6141,59.6226,0.5898,-0.0054,https://github.com/pagopa/pn-infra/,1807
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4865,0.0134,89.1306,59.7070,0.7201,0.0015,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8928,0.0127,89.9190,63.4825,0.7249,0.0002,https://github.com/ashavijit/Face-Find/,1192
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.6549,0.0147,89.8937,57.2351,0.4962,0.0029,https://github.com/Activiti/activiti-7-developers-guide/,1018
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3944,0.0107,89.9513,58.4597,0.6061,0.0009,https://github.com/cordon-thiago/airflow-spark/,1079
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.9622,0.0200,88.9690,55.9053,0.4714,-0.0001,https://github.com/IBM/torc_py/,989
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6294,0.0104,89.9409,58.5742,0.5569,-0.0026,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/SimonLdj/hypnolog-server/,1029
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2509,0.0122,89.9105,58.6212,0.4392,0.0001,https://github.com/chaitin/veinmind-tools/,1038
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2968,0.0484,88.9203,42.7866,0.1986,0.0003,https://github.com/IceFireDB/IceFireDB/,1053
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6335,0.0147,88.3363,57.5024,0.5749,-0.0002,https://github.com/ebu/PlugIt/,773
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4013,0.0214,85.0597,57.8934,0.6226,0.0021,https://github.com/CMUChimpsLab/Peekaboo/,1222
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.2528,0.0154,89.2453,61.7075,0.7201,0.0139,https://github.com/greatfarmer/fifarm/,878
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.1531,0.0220,89.8062,61.0209,0.7157,0.0001,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.4830,0.0134,89.2070,60.2657,0.6947,-0.0019,https://github.com/lovasoa/SuperLogger/,667
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6182,0.0148,89.9225,59.1636,0.6908,0.0112,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/kzh/noob/,900
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",,,,NA,NA,NA,NA,NA,NA,https://github.com/SocialGouv/archifiltre-docs/,1344
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5720,0.0148,88.2889,57.8912,0.5575,-0.0017,https://github.com/OpenIPC/motors/,1030
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.7137,0.0367,89.7391,48.2343,0.3824,-0.0014,https://github.com/NLP4L/attic-nlp4l/,1469
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.1816,0.0155,89.3408,59.2764,0.7109,-0.0007,https://github.com/SafeBreach-Labs/hAFL2/,1271
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7923,0.0145,88.9273,60.5405,0.6221,0.0011,https://github.com/darrenyao87/tnn-models/,1195
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",,,,NA,NA,NA,NA,NA,NA,https://github.com/openshift/configuration-anomaly-detection/,1382
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4669,0.0336,65.6839,49.9078,0.4597,-0.0032,https://github.com/FAC10/week4-jajascript/,634
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6152,0.0148,87.4252,57.0901,0.6395,-0.0006,https://github.com/kubescape/host-scanner/,866
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2396,0.0173,87.3783,61.1626,0.6657,-0.0021,https://github.com/arkaneshiro/Sound-Zone/,968
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0588,0.0111,89.4699,68.1663,0.8733,-0.0006,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5794,0.0148,89.7121,58.6439,0.6380,0.0007,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7541,0.0130,89.2555,57.1217,0.5330,-0.0022,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.6220,0.0587,9.4153,29.3747,0.0331,-0.0015,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7156,0.0146,88.8718,60.4358,0.6993,0.0033,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8972,0.0143,89.5048,61.9070,0.6478,-0.0001,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.2011,0.0174,89.2218,59.9990,0.7200,0.0001,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6846,0.0131,88.8791,62.5224,0.7957,0.0018,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7233,0.0116,89.9285,61.3586,0.7072,-0.0010,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3390,0.0192,89.1711,60.3603,0.7304,0.0024,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6807,0.0583,8.2671,23.7003,0.0073,0.0014,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6878,0.0146,89.8915,62.4351,0.7636,0.0017,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.6453,0.0465,50.5526,43.5616,0.1849,-0.0014,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5993,0.0166,87.3347,58.3163,0.4758,-0.0019,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.5290,0.0188,89.0120,56.1861,0.3545,0.0011,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5625,0.0132,89.8771,59.6250,0.5365,-0.0006,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3721,0.0107,89.6196,59.9297,0.6588,-0.0016,https://github.com/de1ux/statlord/,1082
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0633,0.0111,89.8451,60.4446,0.6993,-0.0008,https://github.com/hotshot07/distributed_systems/,928
