sample_id,setting_id,author1_rating,author2_rating,rating_match,author1_justification,author2_justification
6,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level is complex,Way more detailed !!
6,3,Partially Meets Expectations,Does Not Meet Expectations,False,it is more complex and the components doesn't match for level of detail,Way detailed!
6,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the level of detail is too complex,Way more detaled.
6,5,Partially Meets Expectations,Does Not Meet Expectations,False,this is too different from the given,Way too detailed.
7,1,Meets Expectations,Meets Expectations,True,it meets the expectations level of detail,Perfect
7,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed. Not expected,Way too detailed!
7,3,Partially Meets Expectations,Partially Meets Expectations,True,it is a bit complex.,Too detailed with respect to ground truth.
7,5,Meets Expectations,Meets Expectations,True,it is right level of detail,perfect
8,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level of detail is too much ,Way more detailed.
8,3,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed,Way too detail.
8,4,Meets Expectations,Meets Expectations,True,it matches the ground truth,
8,5,Meets Expectations,Meets Expectations,True,this is the right,perfect
9,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is not level of detail,"Ground truth is a component diagram, whereas the generated on is sequence diagram in more detail."
9,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level of detail is too code level,Way too detailed!!
9,3,Meets Expectations,Meets Expectations,True,the level of detail is same,
9,4,Partially Meets Expectations,Does Not Meet Expectations,False,it is a bit more detailed ,Too detail
9,5,Meets Expectations,Meets Expectations,True,the level of detail is correct,
10,1,Does Not Meet Expectations,Does Not Meet Expectations,True,the number of connectors,"Generated diagram is too detailed sequence diagram, whereas ground truth is a component diagram."
10,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the components are too complex,Way too detailed sequence diagrams.
10,3,Partially Meets Expectations,Partially Meets Expectations,True,the level of detail is same as the ground truth,
10,4,Does Not Meet Expectations,Partially Meets Expectations,False,the level of detail too much compared to the ground truth,
10,5,Meets Expectations,Partially Meets Expectations,False,it meets the level of detail as the ground truth,
11,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complex,Too detailed.
11,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed and complicated,Way too detailed!
11,3,Partially Meets Expectations,Does Not Meet Expectations,False,it is a bit complicated with more connectors and components,Too detailed.
11,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complicated with too many connectors,Too detailed!
11,5,Meets Expectations,Partially Meets Expectations,False,the level of detail is same as the ground truth,The level is fine. But it gives a different view than the ground truth.
12,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is very different from the ground truth with too many details,"Totally different from ground truth, and much more detailed sequence diagram."
12,2,Does Not Meet Expectations,Does Not Meet Expectations,True,too complex relationships,Way too detailed sequence diagram.
12,3,Does Not Meet Expectations,Meets Expectations,False,there are too may connectors,The level of detail is actually fine. But the components are different than the ground truth.
12,4,Does Not Meet Expectations,Does Not Meet Expectations,True,too detailed on the code,"Too detailed sequence diagram, whereas the ground truth is a architecture component diagram."
12,5,Partially Meets Expectations,Partially Meets Expectations,True,the level is nearly same but also missing some higher level details,
13,1,Meets Expectations,Does Not Meet Expectations,False,it is same level of detail,Too detailed!
13,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it too detailed with too many connectors,Way too detailed!
13,3,Partially Meets Expectations,Does Not Meet Expectations,False,it has a bit more detailed,Its too detailed.
13,4,Partially Meets Expectations,Does Not Meet Expectations,False,it is a bit detailed than the ground truth,Too detailed.
13,5,Meets Expectations,Does Not Meet Expectations,False,the number of connectors are huge,Too detail
14,1,Partially Meets Expectations,Partially Meets Expectations,True,the accuracy is same as the ground truth but the number of connectors are huge and the spar Custer is missing with a different higher level environment,A little to detailed
14,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level is too detail,Way too detailed!
14,3,Partially Meets Expectations,Partially Meets Expectations,True,the Hadoop ecosystem was expanded which is not done in ground truth,A little too detailed.
14,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed,Too detailed.
14,5,Partially Meets Expectations,Partially Meets Expectations,True,it is a bit more detailed,A little too detail.
15,1,Does Not Meet Expectations,Partially Meets Expectations,False,the level should be more lesser,"Level is similar to ground truth, but the components captured are very different."
15,2,Does Not Meet Expectations,Partially Meets Expectations,False,it has many more components and connectors,A little too detail.
15,3,Partially Meets Expectations,Partially Meets Expectations,True,it partially meets the ground truth,A little abstract.
15,4,Does Not Meet Expectations,Partially Meets Expectations,False,"the ground truth is more organised, this is too cluttered and complex","The level is ok, but it captures different things than the ground truth"
15,5,Does Not Meet Expectations,Does Not Meet Expectations,True,"it has less details, not matching the ground truth",Too abstract
16,1,Meets Expectations,Meets Expectations,True,this is nearly same as the ground truth,"The level of detail is fine, but the type of diagram is very different."
16,2,Does Not Meet Expectations,Partially Meets Expectations,False,it is too detailed,A bit too detailed.
16,3,Meets Expectations,Meets Expectations,True,it is similar to the ground truth,
16,4,Partially Meets Expectations,Meets Expectations,False,it partially meets the ground truth like the connectors are not matching,perfect
16,5,Meets Expectations,Meets Expectations,True,it is as same as ground truth,
17,1,Does Not Meet Expectations,Meets Expectations,False,it does not match level of detail of ground truth,
17,2,Does Not Meet Expectations,Partially Meets Expectations,False,it is too detailed,Too detailed
17,3,Meets Expectations,Meets Expectations,True,it's basically same,perfect
17,4,Does Not Meet Expectations,Partially Meets Expectations,False,it is too detailed and deviated from ground truth,Too detail
17,5,Meets Expectations,Meets Expectations,True,it is similar to ground truth,perfect.
18,1,Partially Meets Expectations,Does Not Meet Expectations,False,the level of detail partially matches,Too detail. doesn't match with ground ruth.
18,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level is just too detailed,Way too detailed.
18,3,Does Not Meet Expectations,Does Not Meet Expectations,True,here the level of the generated diagrams is too detailed.,Too detailed
18,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the generated diagram is too complex than the ground truth,Too detailed
18,5,Does Not Meet Expectations,Does Not Meet Expectations,True,"it is too detailed like the capabilities is expanded too much
",Too detailed
19,2,Does Not Meet Expectations,Does Not Meet Expectations,True,"it is too clumsy, detailed, unnecessary connectors and too many details",Too detailed!
19,3,Meets Expectations,Meets Expectations,True,it is the detail which is similar to ground truth,
19,4,Partially Meets Expectations,Partially Meets Expectations,True,"the detail level is different, the components are too many and the master lambda was expanded and slack as well",A bit too detailed.
19,5,Meets Expectations,Meets Expectations,True,it is same level as the ground truth,
20,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is just a very different story. both of the images tell two differnt things which do not match,Nothing like the ground truth.
20,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it too detailed with too many connectors and components,"Nothing like the ground truth, and too detailed!"
20,3,Does Not Meet Expectations,Does Not Meet Expectations,True,the connectors are too many whcih is complex and the components are too expanded,Nothing like the ground truth.
20,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it does not match the level of the detail. the figures are split on first level ,Nothing like the ground truth.
20,5,Does Not Meet Expectations,Does Not Meet Expectations,True,the level is different from the ground truth,Nothing like the ground truth.
21,1,Partially Meets Expectations,Partially Meets Expectations,True,"it just has too many flows, which is kind of deviated from ground truth","Level is mostly ok, but it captures different components."
21,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed flows,Way too detailed.
21,3,Partially Meets Expectations,Does Not Meet Expectations,False,it is in similar level of detail but still not in apr with ground truth,"Too detail, and captures different things with respect to ground truth."
21,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the components are expanded which are not in the ground truth,Too detailed.
21,5,Partially Meets Expectations,Meets Expectations,False,"the level of detail is similar to ground truth, but there are too many components","Slightly more detailed than ground truth, but that's okay."
22,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is less detailed compared to that of the ground truth and covers only surface details,"Nothing like the ground truth.
And too abstract with respect to ground truth"
22,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level of detail is same but also the organisation and the way things were put into are different,Way to detail
22,3,Does Not Meet Expectations,Does Not Meet Expectations,True,"in the image it talks about the flutter design architecture, but in the generated the code structure is discussed and the components granularity is different",Nothing like the ground truth.
22,4,Partially Meets Expectations,Does Not Meet Expectations,False,,"Nothing like the ground truth.
The components are totally different from ground truth."
22,5,Partially Meets Expectations,Does Not Meet Expectations,False,it similar to that of the ground truth but the story is very differnt,"Nothing like the ground truth.
The components are totally different from ground truth."
