sample_id,setting_id,author1_rating,author2_rating,rating_match,author1_justification,author2_justification
10,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is very different from what the ground truth,Generated diagram is nothing like the ground truth.
10,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complicated,Nothing like the ground truth.
10,3,Does Not Meet Expectations,Does Not Meet Expectations,True,it is very different from the ground truth,The components and connections do not match with the ground truth.
10,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it is different from ground truth,Very different from ground truth.
10,5,Partially Meets Expectations,Does Not Meet Expectations,False,they both talk about architecture,Very different from ground truth.
11,1,Partially Meets Expectations,Does Not Meet Expectations,False,it not same as the ground truth,Totally different kind of diagram.
11,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is so different and so complicated,Nothing like ground truth.
11,3,Partially Meets Expectations,Does Not Meet Expectations,False,there are more complicated components,"Doesn't look like ground truth, and misses crucial component."
11,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it has too many connectors and components,Very different from ground truth.
11,5,Does Not Meet Expectations,Does Not Meet Expectations,True,it too different from the ground truth,"Generated one is a component diagram, whereas the ground truth is kind of a call diagram."
12,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is very different from the ground truth,Nowhere near ground truth.
12,2,Does Not Meet Expectations,Does Not Meet Expectations,True,too many connectors,Nothing like the ground truth.
12,3,Does Not Meet Expectations,Does Not Meet Expectations,True,this is complicated.,The components and connections are mostly different from ground truth
12,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the diagram is complicated with their details,Totally different from ground truth.
12,5,Does Not Meet Expectations,Does Not Meet Expectations,True,this is very different the ground truth,It's very different. The components and connectors don't match.
13,1,Partially Meets Expectations,Does Not Meet Expectations,False,there are many more components than the ground truth,Is a lot different from ground truth.
13,2,Partially Meets Expectations,Does Not Meet Expectations,False,the components does meet the ground truth. The connectors are too many,very different from ground truth.
13,3,Meets Expectations,Does Not Meet Expectations,False,it has every component in the ground truth,Very different from ground truth.
13,4,Partially Meets Expectations,Does Not Meet Expectations,False,it has many more extra components which were unnecessary,Very different from ground truth.
13,5,Partially Meets Expectations,Does Not Meet Expectations,False,there are many more details in the generated view than the ground truth,"Totally different diagram, though it captures the architecture somehow."
14,1,Partially Meets Expectations,Partially Meets Expectations,True,it has all the components in the ground truth but it also has extra docker containers and more and more connectors.,Looks very different from ground truth. But captures most component and connectors.
14,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has too many details,Nowhere near to ground truth.
14,3,Partially Meets Expectations,Partially Meets Expectations,True,most of the components match but some of the components were extra,Mostly matches ground truth.
14,4,Partially Meets Expectations,Does Not Meet Expectations,False,some of the components are extra,Very different from ground truth.
14,5,Partially Meets Expectations,Partially Meets Expectations,True,it has lot of components which in ground truth but has many details,Captures the idea but looks different.
15,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it has some details but the ground truth was low level and many more details,Its very different from ground truth.
15,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is no where near to the ground truth,Its very different from ground truth. Though it captures many of the components.
15,3,Does Not Meet Expectations,Does Not Meet Expectations,True,only very less components match.,Very different from ground truth.
15,4,Does Not Meet Expectations,Does Not Meet Expectations,True,there are lot of details which are not matching,Very different from ground truth.
15,5,Does Not Meet Expectations,Does Not Meet Expectations,True,it has less details than the ground truth,Very different from ground truth.
16,1,Partially Meets Expectations,Partially Meets Expectations,True,the components are matching but the connectors are complex,"Though it captures the idea, and most of the components, the generated diagram is very different from the ground truth."
16,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has too many different requests and components,"Though it captures most of the components, the generated diagram is very different from the ground truth."
16,3,Partially Meets Expectations,Partially Meets Expectations,True,"Although the components match, the connectors are huge and confusing","Captures similar things, but its a different kind of diagram, and hence looks different from ground truth."
16,4,Partially Meets Expectations,Partially Meets Expectations,True,some of the components which are not in ground truth are present in accuracy,"Captures the component and connections well, but it's a different type of diagram."
16,5,Partially Meets Expectations,Partially Meets Expectations,True,there are some of the connectors missing and also multiple instances of the lambda function,"very similar.
But missing out the structure just a bit."
17,1,Partially Meets Expectations,Partially Meets Expectations,True,most of the components are matching but the connectors are different,"Gets the architecture and flow correct.
But its a different type of diagram."
17,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has too many details,Its a sequence diagram as opposed to architecture component diagram of the ground truth.
17,3,Meets Expectations,Meets Expectations,True,it has the same flow and components,"The icons are different, rest is fine."
17,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the amount  of connectors are many.,Its a sequence diagram as opposed to architecture component diagram of the ground truth.
17,5,Meets Expectations,Meets Expectations,True,the flow is right,"The icons are different, but its almost same structurally."
18,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it does not match at all as the components are different and telling differnt story,Doesn't match with ground truth.
18,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has too many components and rather complex but the ground truth is relatively simple,Nothing like the ground truth.
18,3,Does Not Meet Expectations,Does Not Meet Expectations,True,the accuracy of the generated diagram is not matching to the ground truth as the components are too many and not same as ground truth,Nothing like the ground truth.
18,4,Does Not Meet Expectations,Does Not Meet Expectations,True,both of the diagrams are representing two different things,Nothing like the ground truth
18,5,Does Not Meet Expectations,Does Not Meet Expectations,True,the view generated is very different from ground truth,The elements of the diagram are all different
19,2,Partially Meets Expectations,Does Not Meet Expectations,False,it has the similar placement of the lambda functions but it is rather complex to understand,Very different from ground truth
19,3,Partially Meets Expectations,Does Not Meet Expectations,False,"although most of the components match the ground truth, the placement of them ",Very different from ground truth
19,4,Partially Meets Expectations,Partially Meets Expectations,True,The generated image provides the same story as the ground truth but it is very complex to understand,Looks very different from ground truth.
19,5,Meets Expectations,Partially Meets Expectations,False,it represents the same workflow presented in the ground truth,Mostly matches. But looks wise a bit different from ground truth due to different icons
20,1,Does Not Meet Expectations,Does Not Meet Expectations,True,both of them are too different,Nothing like the ground truth.
20,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it doesn't match the groundtruht and very different,Nothing like the ground truth.
20,3,Does Not Meet Expectations,Does Not Meet Expectations,True,the generated image and the ground truth are too different things,Nothing like the ground truth.
20,4,Does Not Meet Expectations,Does Not Meet Expectations,True,the components are just too different from the ground truth,Nothing like the ground truth.
20,5,Does Not Meet Expectations,Does Not Meet Expectations,True,the components are way too different,Nothing like the ground truth.
21,1,Partially Meets Expectations,Does Not Meet Expectations,False,it does provide the same picture what the ground truth explains,"It's a sequence diagram very different from the ground truth, which is a component diagram"
21,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is just too complex flow very hard to understand,Nothing like the ground truth.
21,3,Partially Meets Expectations,Does Not Meet Expectations,False,"although the saw story, the way it is told is differnt like explores too many technical details",Very different from ground truth
21,4,Does Not Meet Expectations,Does Not Meet Expectations,True,"it is too different from the ground truth , although the components are similar",Captures a different view with respect to the ground truth
21,5,Does Not Meet Expectations,Does Not Meet Expectations,True,"it doesn't match very much, although the components match, the descriptions are different",Misses the 'apps which is crucial'
22,1,Does Not Meet Expectations,Does Not Meet Expectations,True,the ground truth is very different from the generated image.,Nothing like the ground truth.
22,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complex with many components and connectors,Nothing like the ground truth.
22,3,Does Not Meet Expectations,Does Not Meet Expectations,True,both of them are telling too different things.,"Nothing like the ground truth.
Seems like it is a diagram of the repo structure, rather than the architecture, as in the ground truth."
22,4,Partially Meets Expectations,Does Not Meet Expectations,False,"some of the components match, while some of them doesn't like embedder was not discussed",Nothing like the ground truth.
22,5,Does Not Meet Expectations,Does Not Meet Expectations,True,both of them are telling two different things,Nothing like the ground truth.
