Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_deepseek_LLM_Clarity_Rating,zeroShot_deepseek_LLM_Completeness_Rating,zeroShot_deepseek_LLM_Consistency_Rating,zeroShot_deepseek_PSNR,zeroShot_deepseek_RMSE,zeroShot_deepseek_SAM,zeroShot_deepseek_SRE,zeroShot_deepseek_SSIM,zeroShot_deepseek_UIQ
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,https://github.com/2WAY/Design/,578,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.4629,0.0167,0.0000,57.8587,0.6088,
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,https://github.com/microsoft/azure-realtime-fraud-detection/,729,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.8175,0.0128,0.0000,58.5468,0.5562,
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",https://github.com/lkravi/kube8aws/,863,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.2385,0.0387,0.0000,57.6752,0.3516,
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",https://github.com/MyEMS/myems/,1277,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3020,0.0153,0.0000,59.1169,0.4440,
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.3948,0.0151,0.0000,59.7207,0.6628,
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,https://github.com/avarghesein/ActiveX.NET/,990,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6072,0.0165,0.0000,56.5340,0.5300,
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,https://github.com/leekoko/Java-Web/,1095,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6600,0.0126,0.0000,60.6764,0.7507,
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,https://github.com/oracle-quickstart/oci-jenkins/,1071,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2932,0.0108,0.0000,60.7819,0.6333,
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",https://github.com/neighbor-army/help-with-covid/,1153,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6662,0.0131,0.0000,66.6507,0.8353,
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5880,0.0118,0.0000,58.3365,0.5508,
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,https://github.com/pagopa/pn-infra/,1807,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1798,0.0123,0.0000,59.8048,0.6693,
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9379,0.0125,0.0000,59.9987,0.7221,
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,https://github.com/ashavijit/Face-Find/,1192,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3483,0.0120,0.0000,63.7218,0.7593,
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",https://github.com/Activiti/activiti-7-developers-guide/,1018,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.5756,0.0132,0.0000,57.6626,0.5165,
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",https://github.com/cordon-thiago/airflow-spark/,1079,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6775,0.0583,0.0000,51.1094,0.0138,
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,https://github.com/IBM/torc_py/,989,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.2939,0.0191,0.0000,56.1022,0.5064,
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6764,0.0116,0.0000,58.0768,0.5327,
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,https://github.com/SimonLdj/hypnolog-server/,1029,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3739,0.0150,0.0000,55.7857,0.5835,
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",https://github.com/chaitin/veinmind-tools/,1038,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.2490,0.0097,0.0000,59.5921,0.4788,
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,https://github.com/IceFireDB/IceFireDB/,1053,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2810,0.0483,0.0000,42.7450,0.1769,
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,https://github.com/ebu/PlugIt/,773,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7930,0.0129,0.0000,58.0775,0.6392,
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,https://github.com/CMUChimpsLab/Peekaboo/,1222,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3567,0.0215,0.0000,57.8705,0.6413,
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",https://github.com/greatfarmer/fifarm/,878,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8958,0.0127,0.0000,62.4763,0.7636,
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.2439,0.0218,0.0000,61.0301,0.7185,
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",https://github.com/lovasoa/SuperLogger/,667,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.7335,0.0116,0.0000,60.8550,0.7293,
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9676,0.0158,0.0000,58.8167,0.6563,
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",https://github.com/kzh/noob/,900,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.2592,0.0109,0.0000,60.8944,0.6918,
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",https://github.com/SocialGouv/archifiltre-docs/,1344,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4425,0.0134,0.0000,61.3684,0.7273,
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,https://github.com/OpenIPC/motors/,1030,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9830,0.0141,0.0000,58.0986,0.6231,
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,https://github.com/NLP4L/attic-nlp4l/,1469,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8893,0.0351,0.0000,48.3341,0.3498,
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,https://github.com/SafeBreach-Labs/hAFL2/,1271,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.0152,0.0156,0.0000,59.2206,0.7077,
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",https://github.com/darrenyao87/tnn-models/,1195,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7620,0.0145,0.0000,60.5181,0.6293,
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",https://github.com/openshift/configuration-anomaly-detection/,1382,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.5737,0.0526,0.0000,38.2859,0.1425,
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,https://github.com/FAC10/week4-jajascript/,634,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.4849,0.0335,0.0000,49.9167,0.4765,
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,https://github.com/kubescape/host-scanner/,866,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8963,0.0143,0.0000,57.2298,0.5627,
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",https://github.com/arkaneshiro/Sound-Zone/,968,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.1534,0.0552,0.0000,56.0897,0.0074,
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",https://github.com/Enterprise-CMCS/macpro-appian-connector/,809,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0084,0.0126,0.0000,67.6147,0.8407,
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",https://github.com/shinesolutions/sitechecker-slackbot/,797,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.3585,0.0152,0.0000,58.5329,0.6162,
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,https://github.com/lowes/auditor/,976,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0258,0.0126,0.0000,57.2530,0.5648,
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,https://github.com/aws-solutions/iot-device-simulator/,649,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.5764,0.0590,0.0000,29.3637,0.0316,
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,https://github.com/KuangRD/Autonomous-Driving/,1358,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9619,0.0141,0.0000,60.5897,0.7073,
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",https://github.com/teamgram/teamgram-server/,1254,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.8371,0.0127,0.0000,62.4396,0.7114,
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",https://github.com/calmato/gran-book/,1747,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.3374,0.0166,0.0000,60.1357,0.7165,
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",https://github.com/lkmSasanga/fas-web-app/,917,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8792,0.0171,0.0000,61.6041,0.7515,
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,https://github.com/alexprut/earth-defender/,1012,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5749,0.0590,0.0000,51.3230,0.0034,
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,https://github.com/ShiftLeftSecurity/traceleft/,1280,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9695,0.0113,0.0000,61.4779,0.6980,
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,https://github.com/nasa/cFS/,871,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1788,0.0123,0.0000,58.5639,0.6524,
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",https://github.com/0xMelkor/ethereum-node/,1070,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6979,0.0182,0.0000,60.6093,0.7264,
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6709,0.0584,0.0000,23.6951,0.0065,
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,https://github.com/allegroai/clearml-agent/,1155,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8011,0.0144,0.0000,62.4827,0.7530,
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,https://github.com/ParaStation/psmpi/,1184,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3872,0.0479,0.0000,43.4446,0.2019,
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,https://github.com/andrempmattos/harsh-payload/,1333,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9008,0.0143,0.0000,58.9250,0.4972,
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,https://github.com/abel-gr/warehouse-robot/,1156,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0875,0.0176,0.0000,56.4946,0.4182,
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",https://github.com/OAID/Tengine/,1190,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3047,0.0136,0.0000,59.4908,0.5072,
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,https://github.com/de1ux/statlord/,1082,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7788,0.0103,0.0000,60.1333,0.6841,
