Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_gpt_LLM_Clarity_Rating,fewShot_gpt_LLM_Completeness_Rating,fewShot_gpt_LLM_Consistency_Rating,fewShot_gpt_PSNR,fewShot_gpt_RMSE,fewShot_gpt_SAM,fewShot_gpt_SRE,fewShot_gpt_SSIM,fewShot_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6861,0.0184,89.8458,57.4247,0.6276,-0.0054,https://github.com/2WAY/Design/,578
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.2071,0.0138,89.1573,58.1895,0.6449,-0.0035,https://github.com/microsoft/azure-realtime-fraud-detection/,729
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6694,0.0165,88.2523,61.6346,0.5466,-0.0009,https://github.com/lkravi/kube8aws/,863
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5228,0.0149,88.6100,59.2257,0.4654,0.0005,https://github.com/MyEMS/myems/,1277
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",,,,NA,NA,NA,NA,NA,NA,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8602,0.0161,89.7429,56.6613,0.5722,0.0015,https://github.com/avarghesein/ActiveX.NET/,990
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4210,0.0135,89.8988,60.5315,0.7507,0.0001,https://github.com/leekoko/Java-Web/,1095
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6410,0.0117,89.6802,60.4748,0.6420,-0.0027,https://github.com/oracle-quickstart/oci-jenkins/,1071
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1860,0.0138,89.8170,66.4231,0.8201,0.0018,https://github.com/neighbor-army/help-with-covid/,1153
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5888,0.0148,89.5699,59.0007,0.6290,0.0023,https://github.com/pagopa/pn-infra/,1807
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3308,0.0136,89.0805,59.5894,0.6892,0.0011,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3408,0.0121,89.9317,63.7291,0.7698,-0.0001,https://github.com/ashavijit/Face-Find/,1192
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8122,0.0144,89.8994,57.2906,0.4777,0.0001,https://github.com/Activiti/activiti-7-developers-guide/,1018
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7294,0.0130,89.8838,57.6239,0.5466,-0.0033,https://github.com/cordon-thiago/airflow-spark/,1079
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3114,0.0192,89.0313,56.1186,0.5419,-0.0004,https://github.com/IBM/torc_py/,989
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6930,0.0130,89.8254,57.5723,0.5024,0.0083,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/SimonLdj/hypnolog-server/,1029
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.4124,0.0107,89.9390,59.1569,0.4460,-0.0034,https://github.com/chaitin/veinmind-tools/,1038
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.1314,0.0494,88.8947,42.6721,0.1909,0.0002,https://github.com/IceFireDB/IceFireDB/,1053
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1231,0.0139,88.2767,57.7418,0.5983,-0.0006,https://github.com/ebu/PlugIt/,773
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7402,0.0231,84.8710,57.5625,0.4655,0.0022,https://github.com/CMUChimpsLab/Peekaboo/,1222
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1924,0.0138,89.2874,62.1153,0.7330,0.0042,https://github.com/greatfarmer/fifarm/,878
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,Meets Expectations,Meets Expectations,Meets Expectations,32.3608,0.0241,89.7464,60.6785,0.6655,0.0004,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.3428,0.0136,89.1520,60.1523,0.6714,0.0073,https://github.com/lovasoa/SuperLogger/,667
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2494,0.0154,89.8744,58.9569,0.6615,0.0012,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/kzh/noob/,900
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3009,0.0136,89.5666,61.2963,0.7559,0.0012,https://github.com/SocialGouv/archifiltre-docs/,1344
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6452,0.0147,88.2559,57.9251,0.5747,0.0050,https://github.com/OpenIPC/motors/,1030
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.6847,0.0368,89.6888,48.2095,0.3279,-0.0033,https://github.com/NLP4L/attic-nlp4l/,1469
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,Meets Expectations,Meets Expectations,Partially Meets Expectations,36.5619,0.0149,89.2218,59.2808,0.7057,-0.0058,https://github.com/SafeBreach-Labs/hAFL2/,1271
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6062,0.0148,88.8886,60.4482,0.5875,-0.0010,https://github.com/darrenyao87/tnn-models/,1195
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.3024,0.0543,87.3084,38.1582,0.1375,0.0008,https://github.com/openshift/configuration-anomaly-detection/,1382
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,29.7128,0.0327,65.6512,50.0283,0.4367,0.0012,https://github.com/FAC10/week4-jajascript/,634
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4007,0.0151,87.4153,56.9820,0.5936,0.0008,https://github.com/kubescape/host-scanner/,866
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.4311,0.0169,87.3350,61.2567,0.7222,0.0012,https://github.com/arkaneshiro/Sound-Zone/,968
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4995,0.0119,89.4392,67.8808,0.8574,-0.0004,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.2084,0.0155,89.6905,58.4573,0.5843,-0.0005,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6191,0.0117,89.2678,57.5466,0.6568,-0.0046,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.7002,0.0582,9.3961,29.4150,0.0304,-0.0002,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6710,0.0147,88.8508,60.4203,0.6928,-0.0004,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4417,0.0151,89.3996,61.6309,0.6133,-0.0017,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.0222,0.0177,89.1428,59.8767,0.6880,0.0003,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5019,0.0119,88.8713,62.8156,0.7572,0.0008,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3626,0.0121,88.8589,58.2031,0.6143,-0.0018,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1410,0.0110,89.9034,61.5780,0.7255,-0.0000,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.2146,0.0195,89.1411,60.3122,0.7077,0.0032,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6305,0.0587,8.2596,23.6782,0.0065,0.0003,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5684,0.0148,89.8234,62.3743,0.7328,0.0009,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.5718,0.0469,50.5236,43.5254,0.1550,-0.0041,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5029,0.0150,87.2062,58.7241,0.4795,0.0002,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8853,0.0180,89.0855,56.3857,0.3808,0.0060,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7101,0.0130,89.8910,59.7257,0.5385,-0.0036,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4577,0.0106,89.6009,59.9725,0.7158,0.0075,https://github.com/de1ux/statlord/,1082
