Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_deepseek_LLM_Clarity_Rating,approach_deepseek_LLM_Completeness_Rating,approach_deepseek_LLM_Consistency_Rating,approach_deepseek_PSNR,approach_deepseek_RMSE,approach_deepseek_SAM,approach_deepseek_SRE,approach_deepseek_SSIM,approach_deepseek_UIQ,repo_url,summary_token_count
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3866,0.0168,0.0000,57.8418,0.7113,,https://github.com/2WAY/Design/,578
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.5546,0.0116,0.0000,59.0925,0.6827,,https://github.com/microsoft/azure-realtime-fraud-detection/,729
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6103,0.0146,0.0000,62.0451,0.5616,,https://github.com/lkravi/kube8aws/,863
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5986,0.0148,0.0000,59.2661,0.5270,,https://github.com/MyEMS/myems/,1277
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.1616,0.0155,0.0000,59.5803,0.7394,,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.0287,0.0176,0.0000,56.2923,0.6002,,https://github.com/avarghesein/ActiveX.NET/,990
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7779,0.0142,0.0000,59.9660,0.7734,,https://github.com/leekoko/Java-Web/,1095
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.1055,0.0099,0.0000,61.1898,0.7407,,https://github.com/oracle-quickstart/oci-jenkins/,1071
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2608,0.0154,0.0000,65.9476,0.8619,,https://github.com/neighbor-army/help-with-covid/,1153
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9959,0.0126,0.0000,58.0440,0.6289,,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0234,0.0125,0.0000,59.7870,0.7396,,https://github.com/pagopa/pn-infra/,1807
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.7842,0.0126,0.0000,60.0042,0.8017,,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2106,0.0122,89.9515,63.6465,0.8446,,https://github.com/ashavijit/Face-Find/,1192
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8712,0.0143,89.9339,57.3007,0.5703,,https://github.com/Activiti/activiti-7-developers-guide/,1018
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4131,0.0107,0.0000,58.4648,0.6807,,https://github.com/cordon-thiago/airflow-spark/,1079
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.1949,0.0195,0.0000,55.9255,0.5394,,https://github.com/IBM/torc_py/,989
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9457,0.0122,89.9733,58.1427,0.6117,,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9455,0.0158,0.0000,55.5817,0.7456,,https://github.com/SimonLdj/hypnolog-server/,1029
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3564,0.0120,0.0000,58.7076,0.4274,,https://github.com/chaitin/veinmind-tools/,1038
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,,,,NA,NA,NA,NA,NA,NA,https://github.com/IceFireDB/IceFireDB/,1053
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1612,0.0155,0.0000,57.2814,0.6564,,https://github.com/ebu/PlugIt/,773
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/CMUChimpsLab/Peekaboo/,1222
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8071,0.0128,0.0000,62.4462,0.8194,,https://github.com/greatfarmer/fifarm/,878
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,32.9310,0.0225,0.0000,60.8451,0.7417,,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4027,0.0120,0.0000,60.7020,0.7927,,https://github.com/lovasoa/SuperLogger/,667
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.7768,0.0102,0.0000,61.1623,0.7760,,https://github.com/kzh/noob/,900
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5286,0.0118,0.0000,61.9415,0.8739,,https://github.com/SocialGouv/archifiltre-docs/,1344
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5682,0.0148,0.0000,57.8942,0.6325,,https://github.com/OpenIPC/motors/,1030
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.5690,0.0365,89.7508,48.1806,0.4599,,https://github.com/NLP4L/attic-nlp4l/,1469
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.0650,0.0156,0.0000,59.1482,0.7491,,https://github.com/SafeBreach-Labs/hAFL2/,1271
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4599,0.0150,0.0000,60.3768,0.6602,,https://github.com/darrenyao87/tnn-models/,1195
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.4910,0.0531,88.0325,38.2543,0.1487,,https://github.com/openshift/configuration-anomaly-detection/,1382
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.6418,0.0329,0.0000,49.9765,0.4448,,https://github.com/FAC10/week4-jajascript/,634
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0664,0.0157,0.0000,56.8148,0.6487,,https://github.com/kubescape/host-scanner/,866
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.2809,0.0172,0.0000,61.2025,0.7784,,https://github.com/arkaneshiro/Sound-Zone/,968
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9102,0.0112,0.0000,68.1507,0.8905,,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.1033,0.0156,0.0000,58.4748,0.7098,,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4657,0.0106,0.0000,57.9785,0.7139,,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.6172,0.0588,0.0000,29.3798,0.0364,,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8308,0.0162,0.0000,59.8964,0.7829,,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8846,0.0127,0.0000,62.3881,0.6808,,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3650,0.0167,0.0000,59.9682,0.7460,,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.6297,0.0093,0.0000,63.8636,0.8633,,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4158,0.0120,0.0000,58.2700,0.6649,,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.0487,0.0099,89.9701,62.0172,0.8035,,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2973,0.0136,0.0000,58.0970,0.7301,,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.2032,0.0171,0.0000,60.9379,0.7660,,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Meets Expectations,Meets Expectations,Meets Expectations,24.5014,0.0595,0.0000,23.6066,0.0069,,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1909,0.0155,0.0000,62.1812,0.7818,,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3504,0.0481,0.0000,43.4313,0.1927,,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4025,0.0169,0.0000,58.1984,0.5495,,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3517,0.0170,0.0000,56.6281,0.5036,,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7947,0.0114,89.9537,60.4483,0.6563,,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2669,0.0109,0.0000,59.8796,0.7695,,https://github.com/de1ux/statlord/,1082
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.1888,0.0123,0.0000,60.0025,0.6863,,https://github.com/hotshot07/distributed_systems/,928
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6558,0.0585,0.0000,26.5269,0.0123,,https://github.com/fdrennan/ndexr-platform/,1036
