Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zero_shot_claude_3.5_sonnet_LLM_Clarity_Rating,zero_shot_claude_3.5_sonnet_LLM_Completeness_Rating,zero_shot_claude_3.5_sonnet_LLM_Consistency_Rating,zero_shot_claude_3.5_sonnet_PSNR,zero_shot_claude_3.5_sonnet_RMSE,zero_shot_claude_3.5_sonnet_SAM,zero_shot_claude_3.5_sonnet_SRE,zero_shot_claude_3.5_sonnet_SSIM,zero_shot_claude_3.5_sonnet_UIQ
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,https://github.com/oracle-quickstart/oci-jenkins/,1071,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2436,0.0109,89.7090,60.7668,0.6371,0.0006
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",https://github.com/neighbor-army/help-with-covid/,1153,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.6444,0.0131,89.8453,66.6517,0.8322,0.0005
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,https://github.com/pagopa/pn-infra/,1807,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8939,0.0127,89.6174,59.6595,0.6285,0.0085
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.6416,0.0147,89.1280,59.5464,0.7415,0.0019
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,https://github.com/ashavijit/Face-Find/,1192,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.9029,0.0127,89.9157,63.4857,0.7268,-0.0017
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",https://github.com/Activiti/activiti-7-developers-guide/,1018,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.6854,0.0131,89.9150,57.7177,0.5109,0.0032
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",https://github.com/cordon-thiago/airflow-spark/,1079,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8151,0.0115,89.9385,58.1690,0.5755,0.0014
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,https://github.com/IBM/torc_py/,989,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.1025,0.0197,89.0374,55.9813,0.4880,-0.0021
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6494,0.0131,89.9142,57.8918,0.4906,0.0053
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,https://github.com/SimonLdj/hypnolog-server/,1029,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.9366,0.0179,89.4131,55.2329,0.5323,-0.0010
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",https://github.com/chaitin/veinmind-tools/,1038,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9372,0.0113,89.7425,58.9177,0.4535,-0.0001
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,https://github.com/IceFireDB/IceFireDB/,1053,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2874,0.0485,88.9400,42.7382,0.1783,-0.0013
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,https://github.com/ebu/PlugIt/,773,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3128,0.0136,88.3252,57.8366,0.6439,-0.0021
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,https://github.com/CMUChimpsLab/Peekaboo/,1222,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1860,0.0219,85.0233,57.7855,0.6052,-0.0004
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",https://github.com/greatfarmer/fifarm/,878,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5137,0.0133,89.3260,62.2776,0.7789,0.0165
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.2082,0.0219,89.7964,61.0487,0.7084,0.0005
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",https://github.com/lovasoa/SuperLogger/,667,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.5210,0.0133,89.1840,60.2412,0.5998,0.0007
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3262,0.0153,89.9013,58.9930,0.6307,0.0021
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",https://github.com/kzh/noob/,900,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",https://github.com/SocialGouv/archifiltre-docs/,1344,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2183,0.0138,89.5007,61.2563,0.7365,-0.0009
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,https://github.com/OpenIPC/motors/,1030,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9444,0.0142,88.2971,58.0797,0.5979,0.0055
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,https://github.com/NLP4L/attic-nlp4l/,1469,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.7669,0.0364,89.7356,48.2859,0.3733,0.0074
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,https://github.com/SafeBreach-Labs/hAFL2/,1271,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.9698,0.0159,89.3409,59.1774,0.6833,-0.0013
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",https://github.com/darrenyao87/tnn-models/,1195,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0065,0.0141,88.9284,60.6506,0.6392,0.0029
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",https://github.com/openshift/configuration-anomaly-detection/,1382,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.2570,0.0546,87.6003,38.1371,0.1360,0.0002
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,https://github.com/FAC10/week4-jajascript/,634,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4941,0.0335,65.6734,49.9153,0.3932,-0.0084
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,https://github.com/kubescape/host-scanner/,866,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9581,0.0142,87.4342,57.2609,0.6473,0.0009
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",https://github.com/arkaneshiro/Sound-Zone/,968,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5456,0.0167,87.3889,61.3240,0.7401,-0.0002
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",https://github.com/Enterprise-CMCS/macpro-appian-connector/,809,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4412,0.0120,89.4703,67.8546,0.8556,0.0007
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",https://github.com/shinesolutions/sitechecker-slackbot/,797,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,https://github.com/lowes/auditor/,976,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6627,0.0117,89.2776,57.5699,0.5735,0.0007
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,https://github.com/aws-solutions/iot-device-simulator/,649,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.5537,0.0592,9.4178,29.3408,0.0321,0.0002
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,https://github.com/KuangRD/Autonomous-Driving/,1358,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8153,0.0144,88.8510,60.5023,0.6907,-0.0027
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",https://github.com/teamgram/teamgram-server/,1254,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1982,0.0138,89.5068,62.0707,0.6564,-0.0001
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",https://github.com/calmato/gran-book/,1747,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.2616,0.0173,89.1729,59.9543,0.6641,-0.0018
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",https://github.com/lkmSasanga/fas-web-app/,917,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6888,0.0104,88.8967,63.3954,0.7948,-0.0004
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,https://github.com/alexprut/earth-defender/,1012,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3941,0.0151,88.8649,57.3983,0.6332,-0.0043
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,https://github.com/ShiftLeftSecurity/traceleft/,1280,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8065,0.0115,89.9459,61.4077,0.6797,0.0004
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,https://github.com/nasa/cFS/,871,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",https://github.com/0xMelkor/ethereum-node/,1070,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2546,0.0173,89.1952,60.8948,0.7277,0.0008
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.8216,0.0574,8.2665,23.7678,0.0077,0.0018
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,https://github.com/allegroai/clearml-agent/,1155,,,,NA,NA,NA,NA,NA,NA
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,https://github.com/ParaStation/psmpi/,1184,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.5335,0.0471,50.5533,43.5057,0.1734,0.0004
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,https://github.com/andrempmattos/harsh-payload/,1333,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7465,0.0145,87.3520,58.8459,0.4793,-0.0031
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,https://github.com/abel-gr/warehouse-robot/,1156,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2317,0.0173,89.1141,56.5673,0.4493,0.0004
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",https://github.com/OAID/Tengine/,1190,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0232,0.0126,89.9304,59.9007,0.5533,-0.0018
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,https://github.com/de1ux/statlord/,1082,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7018,0.0103,89.6254,60.0946,0.6788,-0.0008
