Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8406,0.0181,89.7249,57.4856,0.6526,,https://github.com/2WAY/Design/,578
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.5823,0.0118,89.3581,59.0921,0.7101,,https://github.com/microsoft/azure-realtime-fraud-detection/,729
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9852,0.0126,88.3329,62.6793,0.5828,,https://github.com/lkravi/kube8aws/,863
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6450,0.0147,88.4536,59.2868,0.5230,,https://github.com/MyEMS/myems/,1277
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5572,0.0149,89.8171,59.8064,0.7360,,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7228,0.0146,89.7667,57.0883,0.6363,,https://github.com/avarghesein/ActiveX.NET/,990
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,,,,35.1133,0.0176,89.8640,59.2329,0.7190,,https://github.com/leekoko/Java-Web/,1095
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5927,0.0105,89.7235,60.9339,0.7117,,https://github.com/oracle-quickstart/oci-jenkins/,1071
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1547,0.0156,89.6880,65.9111,0.8082,,https://github.com/neighbor-army/help-with-covid/,1153
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8292,0.0144,89.6325,59.3073,0.7159,,https://github.com/pagopa/pn-infra/,1807
icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3994,0.0120,89.1588,60.2834,0.8348,,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3944,0.0107,89.9425,64.3181,0.8255,,https://github.com/ashavijit/Face-Find/,1192
boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7130,0.0146,89.8038,57.2418,0.5009,,https://github.com/Activiti/activiti-7-developers-guide/,1018
boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2305,0.0138,89.8751,57.3734,0.5370,,https://github.com/cordon-thiago/airflow-spark/,1079
boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.1201,0.0197,88.9565,56.0617,0.5930,,https://github.com/IBM/torc_py/,989
boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7913,0.0129,89.8103,57.6233,0.5416,,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4745,0.0150,88.9849,55.8215,0.6735,,https://github.com/SimonLdj/hypnolog-server/,1029
boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3107,0.0153,89.8771,58.3001,0.5002,,https://github.com/chaitin/veinmind-tools/,1038
boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2127,0.0489,87.9808,42.6696,0.2037,,https://github.com/IceFireDB/IceFireDB/,1053
boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3866,0.0170,88.1530,56.9081,0.5963,,https://github.com/ebu/PlugIt/,773
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4794,0.0212,85.0957,57.9327,0.6944,,https://github.com/CMUChimpsLab/Peekaboo/,1222
boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3914,0.0135,89.2338,62.2155,0.7794,,https://github.com/greatfarmer/fifarm/,878
boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.2347,0.0218,89.6870,61.0431,0.6994,,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3852,0.0135,89.1772,60.1830,0.6863,,https://github.com/lovasoa/SuperLogger/,667
boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2696,0.0154,89.8751,58.9653,0.7032,,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/kzh/noob/,900
boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4161,0.0120,89.5929,61.8793,0.7855,,https://github.com/SocialGouv/archifiltre-docs/,1344
boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0825,0.0157,88.1992,57.6475,0.5630,,https://github.com/OpenIPC/motors/,1030
boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.5961,0.0372,89.5759,48.1877,0.4478,,https://github.com/NLP4L/attic-nlp4l/,1469
boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7081,0.0164,89.2673,59.0007,0.7034,,https://github.com/SafeBreach-Labs/hAFL2/,1271
boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5230,0.0133,88.9501,60.9120,0.6901,,https://github.com/darrenyao87/tnn-models/,1195
boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.4802,0.0532,87.0969,38.2464,0.1450,,https://github.com/openshift/configuration-anomaly-detection/,1382
boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4257,0.0338,65.6238,49.8876,0.4663,,https://github.com/FAC10/week4-jajascript/,634
icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7578,0.0129,87.4645,57.6611,0.7489,,https://github.com/kubescape/host-scanner/,866
boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3387,0.0171,87.2922,61.2185,0.7350,,https://github.com/arkaneshiro/Sound-Zone/,968
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1895,0.0155,89.2150,66.7369,0.8239,,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.2702,0.0154,89.7378,58.6203,0.6884,,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9171,0.0113,89.2804,57.7047,0.7193,,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.7754,0.0577,9.4150,29.4422,0.0347,,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3432,0.0171,88.6906,59.7251,0.6577,,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4133,0.0151,89.0414,61.6412,0.6528,,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.8949,0.0180,89.0458,59.6276,0.7196,,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6703,0.0117,88.8089,62.9006,0.8154,,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0662,0.0125,88.7961,58.0562,0.5802,,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4102,0.0135,89.8094,60.7445,0.6930,,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3505,0.0192,89.0587,60.2727,0.7363,,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.4881,0.0596,8.2676,23.6015,0.0076,,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4810,0.0168,89.7156,61.8192,0.7227,,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3410,0.0482,49.3396,43.4084,0.1924,,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5155,0.0133,87.3743,59.2306,0.5278,,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8489,0.0181,88.9521,56.3686,0.4148,,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6678,0.0131,88.7971,59.7193,0.6162,,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.0643,0.0099,89.6324,60.2758,0.6703,,https://github.com/de1ux/statlord/,1082
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.2095,0.0155,89.6049,59.0536,0.6261,,https://github.com/hotshot07/distributed_systems/,928
