Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_claude_LLM_Clarity_Rating,fewShot_claude_LLM_Completeness_Rating,fewShot_claude_LLM_Consistency_Rating,fewShot_claude_PSNR,fewShot_claude_RMSE,fewShot_claude_SAM,fewShot_claude_SRE,fewShot_claude_SSIM,fewShot_claude_UIQ,repo_url,summary_token_count
boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.9310,0.0101,89.4880,68.5918,0.8968,0.0002,https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.9130,0.0143,89.6879,58.8110,0.6133,0.0002,https://github.com/shinesolutions/sitechecker-slackbot/,797
boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8280,0.0128,89.2365,57.1511,0.5670,0.0015,https://github.com/lowes/auditor/,976
icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.1672,0.0552,9.4125,29.6491,0.0284,-0.0010,https://github.com/aws-solutions/iot-device-simulator/,649
boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1039,0.0140,88.8731,60.6654,0.7323,0.0009,https://github.com/KuangRD/Autonomous-Driving/,1358
boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8226,0.0128,89.4810,62.3725,0.6688,0.0023,https://github.com/teamgram/teamgram-server/,1254
boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.9927,0.0178,89.1485,59.8196,0.5798,-0.0026,https://github.com/calmato/gran-book/,1747
boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3404,0.0136,88.8146,62.2674,0.7725,0.0005,https://github.com/lkmSasanga/fas-web-app/,917
boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.8483,0.0114,88.8870,58.4497,0.6104,0.0009,https://github.com/alexprut/earth-defender/,1012
boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7288,0.0116,89.9213,61.3708,0.6606,0.0010,https://github.com/ShiftLeftSecurity/traceleft/,1280
boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/nasa/cFS/,871
boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.1545,0.0175,89.2003,60.8032,0.7371,0.0008,https://github.com/0xMelkor/ethereum-node/,1070
icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5757,0.0590,8.2662,23.6531,0.0063,0.0001,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.6925,0.0146,89.8566,62.4353,0.7426,0.0031,https://github.com/allegroai/clearml-agent/,1155
boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3196,0.0483,50.5500,43.3992,0.1968,-0.0001,https://github.com/ParaStation/psmpi/,1184
boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8823,0.0143,87.3402,58.9141,0.4763,0.0004,https://github.com/andrempmattos/harsh-payload/,1333
boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8516,0.0181,89.0275,56.3718,0.3695,0.0011,https://github.com/abel-gr/warehouse-robot/,1156
boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.3616,0.0121,89.8662,60.0345,0.5508,-0.0003,https://github.com/OAID/Tengine/,1190
boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7741,0.0103,89.6199,60.1308,0.6742,0.0026,https://github.com/de1ux/statlord/,1082
